ID	Article	URL	Q1	Q2-1	Q2-2A	Q2-2B	Q4	Q5	Q6	Q7
103	新型コロナウイルスで「北京封鎖」はミスリード。日本のメディアが報じない事実として拡散	https://www.buzzfeed.com/jp/yutochiba/coronavirus-beijing-fact-check	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	6.Prejudice against national and racial
104	[参院選FactCheck] 松井維新代表の「大阪は幼稚園、保育園の無償化を実現している」発言は「不正確」	https://infact.press/2019/07/post-2378/	Inaccurate	3:No, probably	-	3.Misleading	1.Flattery	3.Propaganda	1.33	4.Threat correct understanding of politics and social events
105	「バイデン氏の会見は合成」「バーチャル大統領」陰謀論が日米でまた拡散、発端は“目の錯覚“か	https://www.buzzfeed.com/jp/kotahatachi/biden-green	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
106	「都構想で図書館廃止」は誤り	https://www.sankei.com/article/20201016-6NC7EEXPFRJF7FTNG5QV6KT57E/	False	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	3.00	4.Threat correct understanding of politics and social events
107	[FactCheck] 菅官房長官｢反社会的勢力の定義は定まっていない｣は不正確	https://infact.press/2019/11/post-4060/	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	2.Partisan	1.33	4.Threat correct understanding of politics and social events
108	「イラン軍がアメリカのドローンと交戦」動画が拡散、実際は…	https://www.buzzfeed.com/jp/kotahatachi/us-iran	Pants-on-Fire	2:Yes, probably	2.Manipulated image	-	1.Flattery	4.No purpose/Unknown	1.00	3.Threat honor and trust in people, company and good
109	[新型コロナFactCheck] 東京のPCR検査数 ｢5月19日はたった48人｣は誤情報　実際は｢975人｣	https://infact.press/2020/05/post-6118/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	4.Threat correct understanding of politics and social events
110	オーストラリア火災で拡散「NASAの衛星写真」は誤り。SNSでは10年前の写真も広がる	https://www.buzzfeed.com/jp/kotahatachi/australia-nasa	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	1.33	2:Confusion and anxiety about society
111	オーストラリア火災で拡散「NASAの衛星写真」は誤り。SNSでは10年前の写真も広がる	https://www.buzzfeed.com/jp/kotahatachi/australia-nasa	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	2:Confusion and anxiety about society
112	[新型コロナFactCheck] ｢アベノマスクの不良品たったの12枚｣はミスリード 妊婦向けは4万7千枚	https://infact.press/2020/06/post-6193/	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	2.Partisan	2.00	3.Threat honor and trust in people, company and good
113	「国会議員や公務員の給与は増額、生活保護費は減額」は不正確。「国民の平均所得を参考」と拡散したが…	https://www.buzzfeed.com/jp/kotahatachi/gengaku-zogaku	Inaccurate	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	1.67	4.Threat correct understanding of politics and social events
114	中村哲さんの追悼式典「日本政府関係者の姿はなかった」は誤り　アフガニスタンの空港で	https://www.buzzfeed.com/jp/kotahatachi/rip-dr-nakamura	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
115	コスト１３４０億円「不正確」	https://www.sankei.com/article/20201029-PTIANYCUQJKO7PAAHSDONS7P6Y/	Inaccurate	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
116	学術会議が「レジ袋有料化を提言」は誤り。ネット上で拡散、実際の内容は？	https://www.buzzfeed.com/jp/kotahatachi/gakujutukaigi3	False	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	3.00	3.Threat honor and trust in people, company and good
117	[FactCheck] 立花氏主張｢NHKの人件費は年々増額｣は不正確 〜検証・参院埼玉補選	https://infact.press/2019/10/post-3662/	Inaccurate	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
118	Go Toトラベル利用者の方が、新型コロナウイルス感染症を示唆する症状をより多く経験していることが明らかに	http://www.nposfss.com/cat3/fact/go_to_travel.html	Inaccurate	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	1.50	2:Confusion and anxiety about society
119	[FactCheck]「プーチンがソチに持っている邸宅」の画像は誤り 実在しないアート作品だった	https://infact.press/2021/04/post-11148/	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	1.Satire/Parody	1.00	1.Harmless (e.g., Satire / Parody)
120	「ニキビの位置で体の不調がわかる」と図が拡散。専門医「全くの都市伝説」	https://www.buzzfeed.com/jp/harunayamazaki/nikibi-map	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.00	5.Health
121	出産費用「今でもゼロに近い」は不正確　支給される一時金42万円では足りない	https://mainichi.jp/articles/20200912/k00/00m/040/308000c	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	2:Confusion and anxiety about society
122	5年前のデマ画像が再びネットで拡散　島根大学医学部についてのビラは事実無根	https://www.buzzfeed.com/jp/kensukeseya/shimane-university-fc	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
123	新型コロナ検査キット「中共ウイルス付着」情報の誤り「中国より発送」と拡散	https://www.buzzfeed.com/jp/kensukeseya/corona-ch-fc1	False	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	3.00	6.Prejudice against national and racial
124	「ベトナム人女性をレイプし、切断して楽しむ韓国兵たち」拡散した写真、フェイクの説明を後付けか	https://www.buzzfeed.com/jp/kotahatachi/vietnam	Pants-on-Fire	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	2.67	6.Prejudice against national and racial
125	GoTo人件費「日当」はミスリード。4万円、7万円は「高額」と批判されるが…	https://www.buzzfeed.com/jp/kotahatachi/goto-nitto	Misleading	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	1.33	4.Threat correct understanding of politics and social events
126	[FactCheck] 桜を見る会 ｢行政処分を受けている人が招かれていた｣は不正確	https://infact.press/2019/11/post-4022/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	2.Partisan	1.67	3.Threat honor and trust in people, company and good
127	[新型肺炎FactCheck] ｢(日本の判断で)邦人感染者のチャーター便搭乗を拒否｣は誤り	https://infact.press/2020/02/post-4719/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.67	4.Threat correct understanding of politics and social events
128	[新型肺炎FactCheck] 台湾の報道を｢患者の多くの肺が線維化｣と誤訳した情報が拡散	https://infact.press/2020/04/post-5384/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	3.00	5.Health
129	新型コロナウイルスで「東京オリンピック中止か」はミスリード。組織委員会は「中止は検討しておりません」と回答	https://www.buzzfeed.com/jp/yutochiba/coronavirus-tokyo-olympics	Misleading	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
130	米大統領選「不正の証拠サーバー押収」は誤り　企業・米陸軍も否定	https://mainichi.jp/articles/20201116/k00/00m/030/291000c	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
131	バイデン氏が「最大規模の不正投票組織を用意した」？ 拡散した動画は切り取り、ミスリードに注意	https://www.buzzfeed.com/jp/saoriibuki/biden-voter-fraud-organization	Misleading	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
132	「台湾軍が中国軍機にミサイル発射」YouTube動画で「マスコミが報じない」と誤情報が拡散、60万再生超える	https://www.buzzfeed.com/jp/kotahatachi/taiwan-missile	False	3:No, probably	-	2:Inadequate understanding	1.Flattery	4.No purpose/Unknown	2.33	6.Prejudice against national and racial
133	[FactCheck]「同意なく『眠っている又は意識なし』の人と性行為した場合は犯罪にならない」は誤り	https://infact.press/2021/04/post-11518/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.33	4.Threat correct understanding of politics and social events
134	杉田議員を批判した橋本聖子氏の発言「事務所が否定」は誤り。「女性はいくらでも嘘」発言めぐり拡散	https://www.buzzfeed.com/jp/kotahatachi/hashimoto-sugita	False	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
135	アメリカ、イギリスの「学者団体には税金は投入されていない」は誤り。日本学術会議をめぐり、橋下徹氏の発言が拡散	https://www.buzzfeed.com/jp/yutochiba/gakujutukaigi-fact-check-2	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
136	コロナワクチン接種の医師「全身から出血で死亡」は虚偽。「エボラの症状」と不安を煽る情報が拡散	https://www.buzzfeed.com/jp/kotahatachi/vaccine-debunk	Pants-on-Fire	1:Yes, definitely	1:Fabricated content	-	2.Denigration	3.Propaganda	3.67	2:Confusion and anxiety about society
137	731部隊の戦争証言に「嘘は明白」？ 誤った指摘が拡散「大学卒のみの採用」→「少年隊が存在」	https://www.buzzfeed.com/jp/kotahatachi/731	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
138	日本学術会議が「中国の軍事研究に参加」「千人計画に協力」は根拠不明。「反日組織」と拡散したが…	https://www.buzzfeed.com/jp/kotahatachi/thousand-talents-plan	Unknown-Evidence	2:Yes, probably	1:Fabricated content	-	2.Denigration	2.Partisan	3.00	3.Threat honor and trust in people, company and good
139	「バイデン氏のペンシルベニア州当確取り下げ」は誤り 元NY市長ら拡散後、訂正	https://mainichi.jp/articles/20201111/k00/00m/030/083000c	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	2.Partisan	2.33	3.Threat honor and trust in people, company and good
140	「大手新聞社はどこも報じない」 立憲・石垣議員への批判殺到を受けて拡散した誤情報は...	https://www.buzzfeed.com/jp/kensukeseya/ishigaki-fc	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	3.67	3.Threat honor and trust in people, company and good
141	[FactCheck] 8月の自殺者数 ｢男性の3倍の女性が命を断つ｣は不正確	https://infact.press/2020/09/post-8455/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.67	2:Confusion and anxiety about society
142	大江戸線の集団感染「洗面所の蛇口が原因か」はミスリード。専門家も「考えづらい」と指摘	https://www.buzzfeed.com/jp/kotahatachi/metro-tokyo	Misleading	4:No, definetely	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.67	2:Confusion and anxiety about society
143	[FactCheck] バイデン大統領就任後、カリフォルニア州で11歳以上の未成年者との性行為が合法化？　誤った情報が拡散	https://infact.press/2021/04/post-10957/	False	2:Yes, probably	4.False context	-	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
144	[FactCheck] 伊是名夏子氏「パンを盗んで子供に分け与えた」は実在しない架空の発言	https://infact.press/2021/05/post-11590/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
145	「ロス国際空港で中国からの2万人分の偽造免許証を押収」は不正確、「この犯行は米大統領選の操作が目的」は根拠不明。ネットで拡散	https://wasegg.com/archives/2903	Inaccurate	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	1.67	6.Prejudice against national and racial
146	聖火リレー「一般人の撮影動画、SNSアップ禁止」と拡散したのは去年の記事、いまは問題なし。ただし会場は…	https://www.buzzfeed.com/jp/kotahatachi/ioc-movie-photo	Misleading	4:No, definetely	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
147	[新型肺炎FactCheck] 感染リスク2位が日本になったのは｢入国規制しないため｣は誤り	https://infact.press/2020/02/post-4753/	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	2.00	3.Threat honor and trust in people, company and good
148	民主党政権が「健康保険が外国人に悪用される原因を作った」は誤り。新型コロナウイルスめぐり拡散	https://www.buzzfeed.com/jp/kotahatachi/noganisarerugaharikoronauirusunisi	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	3.00	4.Threat correct understanding of politics and social events
149	「生活保護の最低額は月額29万円」は不正確　実態は世帯ごとに異なる支給額	https://mainichi.jp/articles/20200910/k00/00m/040/255000c	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.67	4.Threat correct understanding of politics and social events
150	新型コロナ「エアロゾル感染を確認。要するに空気感染」は誤り。ネットで不安と誤解が拡散	https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-10	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	3.00	2:Confusion and anxiety about society
151	[参院選FactCheck] 検証 消費税(2) 増税分の84%は使途不明か？	https://infact.press/2019/07/post-2452/	Inaccurate	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	1.33	4.Threat correct understanding of politics and social events
152	安倍首相と会食のランサーズ　HPに「25日時点で内閣府の文字があった」は誤り	https://www.buzzfeed.com/jp/kensukeseya/tonoransazuhpni25denogattahari	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
153	【Fact Check】トランプ氏、朝日記者に「左翼」と発言→根拠不明	https://japan-indepth.jp/?p=47754	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
154	「投票機企業がトランプ票削除」 「バイデンチーム一員が社長の企業がソフト提供」は誤り	https://mainichi.jp/articles/20201119/k00/00m/030/233000c	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.00	3.Threat honor and trust in people, company and good
155	[新型肺炎FactCheck] 日本が物資支援するも｢中国が何かしてくれたことはない｣は誤り	https://infact.press/2020/01/post-4688/	False	4:No, definetely	-	3.Misleading	2.Denigration	3.Propaganda	1.33	6.Prejudice against national and racial
156	「来月から国会議員の月給が100万円→120万円に引き上げ」は誤り　ネットで拡散	https://www.buzzfeed.com/jp/kotahatachi/fact-checking-saninsen	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	1.33	4.Threat correct understanding of politics and social events
157	[FactCheck] 上田氏主張｢県の借金減らした｣はミスリード 〜検証・参院埼玉補選	https://infact.press/2019/10/post-3671/	Misleading	3:No, probably	-	3.Misleading	1.Flattery	4.No purpose/Unknown	0.67	4.Threat correct understanding of politics and social events
158	「国防費より男女平等に多くの税金」は本当か？ 拡散した「男女共同参画費8兆円」の情報はミスリード	https://www.buzzfeed.com/jp/kotahatachi/5-8	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	3.Propaganda	2.67	4.Threat correct understanding of politics and social events
159	「国防費より男女平等に多くの税金」は本当か？ 拡散した「男女共同参画費8兆円」の情報はミスリード	https://www.buzzfeed.com/jp/kotahatachi/5-8	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	3.Propaganda	2.33	4.Threat correct understanding of politics and social events
160	「国防費より男女平等に多くの税金」は本当か？ 拡散した「男女共同参画費8兆円」の情報はミスリード	https://www.buzzfeed.com/jp/kotahatachi/5-8	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	3.Propaganda	3.00	4.Threat correct understanding of politics and social events
161	[FactCheck] ｢台風の最中､国会議員給料アップを閣議決定｣は本当か?	https://infact.press/2019/10/post-3586/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.67	4.Threat correct understanding of politics and social events
162	[FactCheck] 「閉じ込められたウイグル人の児童」は誤り 撮影場所は自宅 「捨てられた書物」も別の国での撮影	https://infact.press/2021/03/post-10752/	False	2:Yes, probably	4.False context	-	3.Neither/No such intention	4.No purpose/Unknown	2.00	6.Prejudice against national and racial
163	「学術会議がレジ袋有料化を提唱」ツイートは不正確　提言はプラごみ削減	https://mainichi.jp/articles/20201014/k00/00m/040/159000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
164	新型コロナ：マスクによる飛沫感染リスク低減率⇒「根拠不明」～SFSSがマスク着用の感染リスク低減効果をファクトチェック！～	http://www.nposfss.com/cat3/fact/covid19_lisk.html	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	3.Propaganda	2.67	5.Health
165	「ワクチン副作用は補償なし」ツイート拡散　実は不正確	https://mainichi.jp/articles/20210527/k00/00m/040/261000c	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	4.00	2:Confusion and anxiety about society
166	[新型コロナFactCheck] ｢日本政府が外国人観光客の旅費半額を補助｣は不正確　海外でも拡散	https://infact.press/2020/07/post-6996/	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	4.Threat correct understanding of politics and social events
167	「新型コロナ感染者、ほとんどが外国人」は誤り。元東大特任准教授らがグラフ拡散	https://www.buzzfeed.com/jp/kotahatachi/20per-japan-2	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.33	6.Prejudice against national and racial
168	「新型コロナ感染者、ほとんどが外国人」は誤り。元東大特任准教授らがグラフ拡散	https://www.buzzfeed.com/jp/kotahatachi/20per-japan-2	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.67	6.Prejudice against national and racial
169	[コロナの時代] ファクトチェック：ファイザー社製のワクチン接種と日本人女性の死亡を関連付ける言説は根拠不明	https://infact.press/2021/03/post-10806/	Unknown-Evidence	3:No, probably	-	3.Misleading	2.Denigration	3.Propaganda	1.33	2:Confusion and anxiety about society
170	「暴徒はアンティファ、顔認証で確認」は「誤り」。開発会社が抗議→記事訂正・謝罪	https://www.buzzfeed.com/jp/harunayamazaki/facial-recognition-antifa-washington-times-false-1	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
171	生活保護「菅義偉は簡単に言うがハードルが高い」と拡散の情報は不正確。首相の発言めぐり	https://www.buzzfeed.com/jp/kotahatachi/seikatsu-hogo	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.33	4.Threat correct understanding of politics and social events
172	「野党議員は自宅待機　自民党議員は無症状即入院」ツイートは不正確	https://mainichi.jp/articles/20210126/k00/00m/040/034000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	3.33	3.Threat honor and trust in people, company and good
173	10秒息を我慢できれば…　LINEで拡散した、コロナ感染の見分け方は誤り	https://www.buzzfeed.com/jp/yutochiba/hold-your-breath-for-10-seconds-myth	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.00	5.Health
174	[新型肺炎FactCheck] ｢スイス製検査キットを日本政府は頑なに導入しない｣は誤り	https://infact.press/2020/03/post-5006/	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.33	4.Threat correct understanding of politics and social events
175	[コロナの時代]ファクトチェック： ｢PCR法を開発してノーベル賞を取った人が『ウイルスの特定にはふさわしくない』と言った｣は本当か？	https://infact.press/2020/08/post-7398/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.67	5.Health
176	[新型肺炎FactCheck] ｢知事が東京マラソンの中国人参加自粛を要請｣報道は不正確	https://infact.press/2020/02/post-4803/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.00	6.Prejudice against national and racial
177	安倍内閣の支持率「岩手民報は3％」拡散した各紙のデータ、ほとんどが不正確	https://www.buzzfeed.com/jp/kotahatachi/anataha-abeseikenwo-shijisimasuka	Inaccurate	2:Yes, probably	1:Fabricated content	-	2.Denigration	2.Partisan	2.00	4.Threat correct understanding of politics and social events
178	「警察官1万人に1人が黒人に射殺」は根拠不明　警官殉職の加害者は白人多く	https://mainichi.jp/articles/20200905/k00/00m/030/143000c	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.33	6.Prejudice against national and racial
179	学術会議問題　菅首相の発言「1949年から推薦で会員選出」は不正確	https://mainichi.jp/articles/20201205/k00/00m/010/114000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
180	「与謝野晶子がスペイン風邪で子どもを亡くした」は誤り。新型コロナで拡散したが…	https://www.buzzfeed.com/jp/kotahatachi/spain-flu	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.67	3.Threat honor and trust in people, company and good
181	[コロナの時代]ファクトチェック： ｢都市封鎖の東京に鹿｣ アルジャジーラが誤報	https://infact.press/2020/04/post-5768/	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.00	1.Harmless (e.g., Satire / Parody)
182	【コロナの時代】FactCheck:「台湾で認可・承認されているワクチンはアストラゼネカ製のみ」は誤り　発信者は訂正済	https://infact.press/2021/06/post-12479/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.67	3.Threat honor and trust in people, company and good
183	「野党が口頭で国会開催を要求」「正当なプロセスを踏んでいない」は誤り、ネットで拡散	https://www.buzzfeed.com/jp/kotahatachi/52-3	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	3.33	4.Threat correct understanding of politics and social events
184	[コロナの時代]ファクトチェック： 専門家会議副座長の発言｢PCR検査が多い国の方が死亡数が多い｣は不正確	https://infact.press/2020/05/post-6080/	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.33	3.Threat honor and trust in people, company and good
185	[FactCheck]室井佑月氏が「社会的に問題になろうが、知ったこっちゃない」とデマを肯定? 発言の一部を切り取ったツイートが拡散	https://infact.press/2021/04/post-11334/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
186	[新型コロナFactCheck] LINEの調査で｢日本の感染者は公表の10倍以上｣ 中国で誤情報拡散	https://infact.press/2020/05/post-5786/	False	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	1.33	6.Prejudice against national and racial
187	[新型コロナFactCheck] ｢PCR検査は風邪も検出｣と誤った主張の動画が拡散	https://infact.press/2020/06/post-6304/	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.00	3.Threat honor and trust in people, company and good
188	「武漢から帰国した議員が検査拒否→コロナウイルスに感染」は誤り。「殺しに行こう」の書き込みも	https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-8	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
189	旭川の病院「中国人の入院で医療崩壊」は誤り。「観光バスで40人ずつ受け入れ」などと拡散	https://www.buzzfeed.com/jp/kotahatachi/asahikawa-debunk	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	3.00	6.Prejudice against national and racial
190	「夜の街クラスター」の正体は安倍政権批判の"デモ"との誤情報拡散、添えられた映像は...	https://www.buzzfeed.com/jp/kensukeseya/fc-yoru-1	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	3.33	3.Threat honor and trust in people, company and good
191	[FactCheck] 安倍首相の被災者慰問 スタジオ撮影偽写真が拡散､台湾でも話題に	https://infact.press/2020/03/post-5303/	Pants-on-Fire	1:Yes, definitely	2.Manipulated image	-	2.Denigration	2.Partisan	3.33	3.Threat honor and trust in people, company and good
192	[新型コロナFactCheck] ｢(5月11日)東京は病床がひっ迫 使用率8割超え｣NHKが誤報 実際は5割未満	https://infact.press/2020/05/post-6025/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	2:Confusion and anxiety about society
193	NHK中国語版が「日本新型コロナウイルス」と報じた→誤り。国会議員らが指摘したが…	https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-20	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.33	3.Threat honor and trust in people, company and good
194	新型コロナワクチン、「感染予防効果なし」は誤り。ワクチンの効果、副反応について専門家に聞きました	https://www.buzzfeed.com/jp/yutochiba/covid-19-vaccine	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	3.67	5.Health
195	「事業仕分けで4学会廃止」は誤り　拡散したアカウントの対応は	https://mainichi.jp/articles/20210406/k00/00m/010/020000c	False	1:Yes, definitely	1:Fabricated content	-	2.Denigration	2.Partisan	3.00	3.Threat honor and trust in people, company and good
196	米大統領選「トランプの票を大量に廃棄、埋めた」は誤り。拡散された画像はどれも別のニュースからの切り取り	https://www.buzzfeed.com/jp/yutochiba/2020-election-factcheck-2	False	1:Yes, definitely	2.Manipulated image	-	1.Flattery	2.Partisan	2.00	7.Conspiracy theory
197	「ソーシャルディスタンスは不要」WHOの方針転換と世界で拡散→誤り	https://www.buzzfeed.com/jp/kensukeseya/covid-who-fc	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	1.33	2:Confusion and anxiety about society
198	[新型コロナFactCheck] ｢4月だけで中国から3000人が特別入国｣との誤情報 動画で拡散	https://infact.press/2020/05/post-5966/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.67	6.Prejudice against national and racial
199	玉城知事の訪韓「首里城より韓国」はミスリード。帰国後にまとめサイトが拡散	https://www.buzzfeed.com/jp/kotahatachi/shuri-castle	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.33	3.Threat honor and trust in people, company and good
200	[新型コロナFactCheck] ｢感染対策に緑茶が有効｣は根拠不明 査読前論文の未確定情報が拡散	https://infact.press/2020/04/post-5664/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.33	5.Health
201	あいちトリエンナーレに「安倍首相と菅官房長官の口をヒールで踏む作品」は誤り	https://www.buzzfeed.com/jp/kensukeseya/aichi-1	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
202	[FactCheck] 「川崎市役所は400人が朝鮮人」は根拠不明	https://infact.press/2021/06/post-12229/	Unknown-Evidence	2:Yes, probably	1:Fabricated content	-	2.Denigration	3.Propaganda	2.33	6.Prejudice against national and racial
203	大江健三郎氏の「電気はいらない！」プラカード写真はフェイク画像　ツイッターで拡散	https://mainichi.jp/articles/20210128/k00/00m/040/146000c	Pants-on-Fire	1:Yes, definitely	2.Manipulated image	-	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
204	桜を見る会「鳩山首相が例年より相当多く呼び、1万人の大台に乗った」は誤り	https://www.buzzfeed.com/jp/kotahatachi/sakura-sakura	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	1.33	4.Threat correct understanding of politics and social events
205	桜を見る会「鳩山首相が例年より相当多く呼び、1万人の大台に乗った」は誤り	https://www.buzzfeed.com/jp/kotahatachi/sakura-sakura	False	2:Yes, probably	2:Manipulated text	-	2.Denigration	2.Partisan	2.00	4.Threat correct understanding of politics and social events
